year,month,state,genus_species,serotypeorgenogroup,status,locationofconsumption,totalill,totalhospitalizations,totaldeaths,foodvehicle,contaminated_ingredient,serialid
2005,August,Missouri,,,,Other,27,0,0,"sandwich, deli",,1
2005,July,Missouri,Salmonella enterica,,Confirmed,Wedding reception,31,2,0,,,2
2005,July,Wisconsin,,,,"Nursing home, assisted living facility, home care",9,1,0,,,3
2005,July,Wisconsin,Clostridium perfringens,,Confirmed,"Prison, jail",24,0,0,"gravy, sausage",,4
2005,August,Wisconsin,,,,"Workplace, not cafeteria",17,0,0,,,5
2005,August,Oregon,Salmonella enterica,Montevideo,Confirmed,Restaurant - other or unknown type,4,0,0,,,6
2004,April,Multistate outbreak reported by CDC,"E.coli, Shiga toxin-producing",O157:H7,Confirmed,Private home; Restaurant - other or unknown type,59,18,,ground beef,Ground Beef,7
2004,April,Multistate outbreak reported by CDC,Salmonella enterica,Bovismorbificans,Confirmed,Private home,35,5,,alfalfa sprouts,Sprouts,8
2004,July,Multistate outbreak reported by CDC,Salmonella enterica,Newport,Confirmed,Restaurant - other or unknown type,97,,,"iceberg lettuce, unspecified",Leafy,9
2004,June,Multistate outbreak reported by CDC,Salmonella enterica,Braenderup,Confirmed,Private home; Restaurant - other or unknown type,137,25,0,roma tomato,Vine-stalk  eg. tomato,10
2004,July,Multistate outbreak reported by CDC,Salmonella enterica,Anatum; Javiana; Muenchen; Thompson; Typhimurium; Unknown,Confirmed; Confirmed; Confirmed; Confirmed; Confirmed; Confirmed,Restaurant - other or unknown type,429,129,0,roma tomato,Vine-stalk  eg. tomato,11
2004,June,Multistate outbreak reported by CDC,Salmonella enterica,Berta,Confirmed,Private home; Restaurant - other or unknown type,155,16,,"eggs, unspecified; onion, unspecified; taco, beef",Beef,12
2004,August,Multistate outbreak reported by CDC,Salmonella enterica,Typhimurium,Confirmed,Private home,34,,,"ground beef, unspecified",,13
2004,July,Multistate outbreak reported by CDC,"E.coli, Shiga toxin-producing",O157:H7,Confirmed,Private home,5,1,0,"ground beef, hamburger",Ground Beef,14
2004,July,Multistate outbreak reported by CDC,Salmonella enterica,Agbeni,Confirmed,,48,,,,,15
2005,May,Florida,,,,Restaurant - other or unknown type,7,,,,,16
2005,August,Oregon,Salmonella enterica,Typhimurium,Suspected,Private home,9,0,0,,,17
2005,September,Minnesota,Salmonella enterica,Enteritidis,Confirmed,Restaurant - other or unknown type,3,1,0,,,18
2005,September,Minnesota,Norovirus,,Confirmed,Workplace cafeteria,39,0,0,"salad bar; sandwich, unspecified",,19
2005,October,Oregon,Norovirus,Unspecified,Confirmed,Restaurant - other or unknown type,13,0,0,guacamole,,20
2005,July,Oregon,Norovirus,Unspecified,Suspected,Camp,22,0,0,caesar salad,,21
2005,September,Oregon,Salmonella enterica,Heidelberg,Confirmed,"Church, temple, etc",4,0,0,,,22
2005,February,North Carolina,Norovirus,Unspecified,Confirmed,Restaurant - other or unknown type,8,0,0,,,23
2005,March,Florida,Cyclospora cayetanensis,,Confirmed,Other; Restaurant - other or unknown type,592,,,"basil, unspecified",Spices,24
2005,September,North Carolina,Salmonella enterica,Enteritidis,Confirmed,Restaurant - other or unknown type,83,2,0,"chicken, grilled",,25
2005,September,North Carolina,Salmonella enterica,Javiana,Confirmed,"Fair, festival, temporary mobile service",17,0,0,"pork, BBQ",,26
2005,September,Florida,,,,Private home,4,0,0,"steak, sirloin",Meat,27
2005,October,Illinois,Mycotoxins,,Suspected,School,25,0,0,"pineapple, unspecified",,28
2005,September,North Carolina,Norovirus,Unspecified,Confirmed,Other,15,0,0,"squash, unspecified",,29
2005,October,North Carolina,Salmonella enterica,Newport,Confirmed,Other,14,1,0,"cake, cream cheese; cheese bread",,30
2005,August,Hawaii,Staphylococcus aureus,,Confirmed,,2,0,0,"fish, mackeral",,31
2005,August,New York,Bacillus cereus,,Suspected,Restaurant - other or unknown type,16,0,0,rice and peas,Rice,32
2005,July,Colorado,Salmonella enterica,Newport,Confirmed,Unknown or undetermined,24,7,1,"cantaloupe; ground beef, unspecified",,33
2005,October,Florida,,,,Private home,3,,,"pizza, meat",,34
2005,October,Florida,,,,Restaurant - other or unknown type,4,,,"sandwich, deli",,35
2005,September,Florida,,,,Restaurant - other or unknown type,2,,,Specialty/Ethnic dishes,,36
2005,September,Florida,,,,Restaurant - other or unknown type,4,,,"salsa, unspecified",,37
2005,October,Oregon,"E.coli, Shiga toxin-producing",O157:H7,Confirmed,Restaurant - other or unknown type,64,1,0,other food *****,,38
2005,September,Florida,Salmonella other,,Confirmed,Restaurant - other or unknown type,7,,,,,39
2005,October,Connecticut,Norovirus,,Suspected,Private home; Wedding reception,25,1,0,deli tray,,40
2005,September,Connecticut,Salmonella enterica,Typhimurium,Confirmed,Private home,6,1,0,,,41
2005,January,Pennsylvania,Norovirus,GI / Norwalk cluster,Suspected,Other,150,3,0,,,42
2005,September,Pennsylvania,Clostridium perfringens,,Confirmed,"Private home; Restaurant - other or unknown type; Workplace, not cafeteria",9,0,0,"beef, unspecified",,43
2005,September,Republic of Palau,Bacillus cereus,,Suspected,Other,6,0,0,"fried rice, unspecified",,44
2005,September,Wisconsin,Salmonella enterica,Montevideo,Confirmed,Restaurant - other or unknown type,6,2,0,"gravy, sausage",,45
2005,August,California,Vibrio parahaemolyticus,,Suspected,Picnic,14,0,0,Oysters,Shellfish,46
2005,August,Colorado,Salmonella enterica,Typhimurium var Cope,Confirmed,Restaurant - other or unknown type,4,1,0,shrimp dishes unspecified,,47
2005,September,Colorado,Norovirus,,Suspected,Restaurant - other or unknown type,4,0,0,shrimp dishes unspecified,,48
2005,October,Wisconsin,Campylobacter jejuni,,Confirmed,"Church, temple, etc",13,2,0,"liver, chicken",,49
2005,July,Wisconsin,Norovirus,,Confirmed,Picnic,25,2,0,"pork, roasted",,50
2005,September,Hawaii,Salmonella enterica,Weltevreden,Confirmed,Private home,7,2,0,"shrimp, raw",,51
2005,September,North Carolina,Norovirus,Unspecified,Confirmed,School,10,,,,,52
2005,October,Florida,Norovirus,Unspecified,Suspected,Private home,16,,,"sandwich, cuban",,53
2005,August,Michigan,Norovirus,,Confirmed,Other,30,0,0,,,54
2005,October,New York,"E.coli, Shiga toxin-producing",O157:H7,Confirmed,Private home,3,0,0,"ground beef, hamburger",Ground Beef,55
2005,August,Michigan,,,,Banquet facility,21,0,0,,,56
2005,September,Michigan,,,,Restaurant - other or unknown type,2,0,0,,,57
2005,October,Illinois,Norovirus,,Suspected,Wedding reception,45,1,0,"chicken, other; green salad",,58
2005,July,California,,,,,6,0,0,,,59
1999,July,Missouri,Cyclospora cayetanensis,,Confirmed,Private home,62,1,0,"basil, unspecified",Spices,60
1999,July,West Virginia,Norovirus; Staphylococcus aureus,,Suspected; Suspected,Camp,126,11,,multiple foods,,61
1999,September,West Virginia,Salmonella enterica,Enteritidis,Confirmed,Restaurant - other or unknown type,12,5,0,"chile relleno, unspecified",Beef,62
1999,October,West Virginia,Norovirus,,Confirmed,Other; Private home,16,2,0,lettuce-based salads unspecified,,63
1999,October,Wisconsin,Norovirus,,Confirmed,Private home,14,0,0,"chicken, unspecified",,64
1999,March,Wisconsin,Clostridium perfringens,,Confirmed,Hospital,10,,,soup unspecified,,65
1999,October,Wisconsin,,,,Restaurant - other or unknown type,5,,,"fish, haddock",,66
1999,October,Wisconsin,Norovirus,,Confirmed,School,82,,0,,,67
1999,November,Wisconsin,Salmonella enterica,Enteritidis,Confirmed,Restaurant - other or unknown type,33,0,0,"eggs, other; lasagna, unspecified; ravioli, unspecified",,68
1998,June,Washington,,,,Private home,2,,,"chicken, unspecified",,69
1998,August,Washington,Vibrio parahaemolyticus,,Confirmed,Restaurant - other or unknown type,2,0,0,"oysters, unspecified",,70
1999,April,Washington,,,,Restaurant - other or unknown type,2,,,"ground beef, unspecified",,71
1999,June,Washington,Salmonella enterica,Javiana,Confirmed,"Private home; Workplace, not cafeteria",11,4,0,mixed fruit,,72
1999,December,Washington,,,,,2,,,"oysters, raw",,73
1999,December,Washington,,,,Private home; Restaurant - other or unknown type,6,,,"chicken, unspecified; mashed potato/gravy",,74
1999,December,Washington,Bacillus cereus,,Suspected,,6,0,0,"salmon, unspecified",,75
1999,December,Washington,Other viral,,Suspected,"Workplace, not cafeteria",30,0,,"sandwich, ham",,76
1999,December,Washington,,,,Restaurant - other or unknown type,9,,,,,77
1999,December,Washington,Norovirus,"Genogroup II  (GII) , non typeable by GII probes",Confirmed,Other,62,2,0,"celery, unspecified; peppers, green; water",,78
1999,December,Washington,,,,Camp,34,,,"turkey, unspecified",,79
1999,December,Washington,Other viral,,Suspected,Other,13,,,,,80
1999,December,Washington,,,,"Workplace, not cafeteria",3,,,"salad, unspecified",,81
1999,November,Washington,,,,Other,17,,,,,82
1999,November,Washington,,,,,5,,,,,83
1999,November,Washington,,,,Restaurant - other or unknown type,5,,,"chicken, unspecified",,84
1999,November,Washington,Other chemical,,Suspected,,8,,,"tuna, unspecified",,85
1999,November,Washington,,,,Restaurant - other or unknown type,2,,,"pizza, unspecified",,86
