TotalIll,Total
1998-April,2400
1998-August,3340
1998-December,1914
1998-February,1147
1998-January,1389
1998-July,2663
1998-June,3194
1998-March,1512
1998-May,2588
1998-November,2052
1998-October,1817
1998-September,3248
1999-April,2244
1999-August,2275
1999-December,2311
1999-February,1233
1999-January,915
1999-July,2021
1999-June,2474
1999-March,1526
1999-May,3077
1999-November,1744
1999-October,2881
1999-September,2188
2000-April,1687
2000-August,1707
2000-December,2571
2000-February,2738
2000-January,1303
2000-July,2631
2000-June,1755
2000-March,2640
2000-May,2553
2000-November,2695
2000-October,2047
2000-September,1701
2001-April,1936
2001-August,1398
2001-December,2291
2001-February,1413
2001-January,2952
2001-July,1781
2001-June,2346
2001-March,2378
2001-May,3772
2001-November,2298
2001-October,1471
2001-September,1152
2002-April,2814
2002-August,1585
2002-December,2566
2002-February,1272
2002-January,1376
2002-July,1699
2002-June,2347
2002-March,2300
2002-May,1594
2002-November,3096
2002-October,1962
2002-September,2307
2003-April,1727
2003-August,1765
2003-December,1114
2003-February,1658
2003-January,2021
2003-July,1569
2003-June,2595
2003-March,1835
2003-May,2504
2003-November,2362
2003-October,2370
2003-September,1582
2004-April,2036
2004-August,1452
2004-December,4303
2004-February,3193
2004-January,2991
2004-July,1607
2004-June,3077
2004-March,2749
2004-May,1495
2004-November,2680
2004-October,1694
2004-September,1618
2005-April,2709
2005-August,1014
2005-December,1492
2005-February,1169
2005-January,1408
2005-July,1571
2005-June,1437
2005-March,2156
2005-May,3157
2005-November,1374
2005-October,1215
2005-September,1227
2006-April,3765
2006-August,2443
2006-December,2810
2006-February,1640
2006-January,2468
2006-July,1596
2006-June,1994
2006-March,2014
2006-May,4315
2006-November,3061
2006-October,1535
2006-September,1170
2007-April,1678
2007-August,1462
2007-December,1587
2007-February,2509
2007-January,2749
2007-July,2234
2007-June,2166
2007-March,1216
2007-May,1592
2007-November,1516
2007-October,1301
2007-September,1282
2008-April,4303
2008-August,2414
2008-December,1845
2008-February,1162
2008-January,1198
2008-July,2008
2008-June,1507
2008-March,2056
2008-May,1478
2008-November,1309
2008-October,2228
2008-September,1581
2009-April,1080
2009-August,867
2009-December,1056
2009-February,1477
2009-January,1414
2009-July,1321
2009-June,1188
2009-March,1325
2009-May,1197
2009-November,1481
2009-October,657
2009-September,696
2010-April,1967
2010-August,1095
2010-December,913
2010-February,1837
2010-January,1425
2010-July,1002
2010-June,993
2010-March,948
2010-May,1079
2010-November,962
2010-October,1075
2010-September,594
(blank),
Grand Total,301054
