TotalIll,Total
April1998,2400
April1999,2244
April2000,1687
April2001,1936
April2002,2814
April2003,1727
April2004,2036
April2005,2709
April2006,3765
April2007,1678
April2008,4303
April2009,1080
April2010,1967
August1998,3340
August1999,2275
August2000,1707
August2001,1398
August2002,1585
August2003,1765
August2004,1452
August2005,1014
August2006,2443
August2007,1462
August2008,2414
August2009,867
August2010,1095
December1998,1914
December1999,2311
December2000,2571
December2001,2291
December2002,2566
December2003,1114
December2004,4303
December2005,1492
December2006,2810
December2007,1587
December2008,1845
December2009,1056
December2010,913
February1998,1147
February1999,1233
February2000,2738
February2001,1413
February2002,1272
February2003,1658
February2004,3193
February2005,1169
February2006,1640
February2007,2509
February2008,1162
February2009,1477
February2010,1837
January1998,1389
January1999,915
January2000,1303
January2001,2952
January2002,1376
January2003,2021
January2004,2991
January2005,1408
January2006,2468
January2007,2749
January2008,1198
January2009,1414
January2010,1425
July1998,2663
July1999,2021
July2000,2631
July2001,1781
July2002,1699
July2003,1569
July2004,1607
July2005,1571
July2006,1596
July2007,2234
July2008,2008
July2009,1321
July2010,1002
June1998,3194
June1999,2474
June2000,1755
June2001,2346
June2002,2347
June2003,2595
June2004,3077
June2005,1437
June2006,1994
June2007,2166
June2008,1507
June2009,1188
June2010,993
March1998,1512
March1999,1526
March2000,2640
March2001,2378
March2002,2300
March2003,1835
March2004,2749
March2005,2156
March2006,2014
March2007,1216
March2008,2056
March2009,1325
March2010,948
May1998,2588
May1999,3077
May2000,2553
May2001,3772
May2002,1594
May2003,2504
May2004,1495
May2005,3157
May2006,4315
May2007,1592
May2008,1478
May2009,1197
May2010,1079
November1998,2052
November1999,1744
November2000,2695
November2001,2298
November2002,3096
November2003,2362
November2004,2680
November2005,1374
November2006,3061
November2007,1516
November2008,1309
November2009,1481
November2010,962
October1998,1817
October1999,2881
October2000,2047
October2001,1471
October2002,1962
October2003,2370
October2004,1694
October2005,1215
October2006,1535
October2007,1301
October2008,2228
October2009,657
October2010,1075
September1998,3248
September1999,2188
September2000,1701
September2001,1152
September2002,2307
September2003,1582
September2004,1618
September2005,1227
September2006,1170
September2007,1282
September2008,1581
September2009,696
September2010,594
Grand Total,301054
